Paper Title,Paper Type,Research Topic,Metaverse Component,Publication Venue,Evaluation Scenario,Reality
SmartPoser: Arm Pose Estimation with a Smartphone and Smartwatch Using UWB and IMU Data,Technique,Confidentiality,"AR,LL",UIST,AP,AR
A Secure Authentication Framework to Guarantee the Traceability of Avatars in Metaverse,Technique,Authentication,"VW,MW,LL",Other Venues,AP,XR
MagLoc-AR: Magnetic-Based Localization for Visual-Free Augmented Reality in Large-Scale Indoor Environments,Technique,Anonymity,"AR,LL",TVCG,AP,AR
SigA: RPPG-Based Authentication for Virtual Reality Head-Mounted Display,Technique,Authentication,"VW,LL",Other Venues,AP,VR
Combining Real-World Constraints on User Behavior with Deep Neural Networks for Virtual Reality (VR) Biometrics,Technique,Unobservability,"VW,LL",VR,AP,VR
HoloLogger: Keystroke Inference on Mixed Reality Head Mounted Displays,Technique,Unobservability,"MW,AR,LL",VR,"AP,UE","MR,AR"
SPAA: Stealthy Projector-based Adversarial Attacks on Deep Image Classifiers,Technique,Deniability,"MW,AR",VR,AP,"MR,AR"
Temporal Effects in Motion Behavior for Virtual Reality (VR) Biometrics,Technique,Identification,"VW,LL",VR,AP,VR
A Keylogging Inference Attack on Air-Tapping Keyboards in Virtual Environments,Technique,Unlinkability,"VW,LL",VR,AP,VR
Kal epsilon ido: Real-Time Privacy Control for Eye-Tracking Systems,Technique,Unobservability,"MW,LL",USS,AP,MR
Using Siamese Neural Networks to Perform Cross-System Behavioral Authentication in Virtual Reality,Technique,Authentication,"VW,LL",VR,AP,VR
VR-Spy: A Side-Channel Attack on Virtual Key-Logging in VR Headsets,Technique,Unobservability,"VW,LL",VR,AP,VR
A privacy-preserving approach to streaming eye-tracking data,Technique,Anonymity,"VW,MW,LL",TVCG,AP,"MR,VR"
Spectrum-flexible secure broadcast ranging,Technique,Availability,AR,Other Venues,AP,AR
Designing Leakage-Resilient Password Entry on Head-Mounted Smart Wearable Glass Devices,Technique,Integrity,"VW,MW,AR,LL",Other Venues,"AP,UE","AR,VR"
Global Feature Analysis and Comparative Evaluation of Freestyle In-Air-Handwriting Passcode for User Authentication,Technique,Authentication,"VW,MW,AR,LL",Other Venues,AP,"AR,VR"
The Security-Utility Trade-off for Iris Authentication and Eye Animation for Social Virtual Avatars,Technique,Unobservability,"VW,LL",TVCG,"AP,UE",VR
Mimicry Attacks on Smartphone Keystroke Authentication,Technique,Identification,"AR,LL",Other Venues,AP,AR
GaitLock: Protect Virtual and Augmented Reality Headsets Using Gait,Technique,Anonymity,"VW,MW,AR,LL",Other Venues,AP,"AR,VR"
Human Identification Using Neural Network-Based Classification of Periodic Behaviors in Virtual Reality,Technique,Anonymity,"VW,LL",VR,AP,VR
Virtual U: Defeating Face Liveness Detection by Building Virtual Models From Your Public Photos,Technique,Unobservability,"VW,LL",USS,AP,VR
Visual Cryptography and Obfuscation: A Use-Case for Decrypting and Deobfuscating Information Using Augmented Reality,Technique,Authorization,"AR,LL",Other Venues,AP,AR
