Item Type,Rank,Domain,Venue,Total
journalPaper,B,HCI,USS,0
journalPaper,B,HCI,VR,0
journalPaper,B,HCI,WiSec,0
journalPaper,B,S&P,ACSAC,0
journalPaper,B,S&P,ARES,0
journalPaper,B,S&P,CCS,0
journalPaper,B,S&P,CHI,0
journalPaper,B,S&P,CS,0
journalPaper,B,S&P,ESORICS,0
journalPaper,B,S&P,FC,0
journalPaper,B,S&P,ISMAR,0
journalPaper,B,S&P,NDSS,0
journalPaper,B,S&P,PACIFICVIS,0
journalPaper,B,S&P,PETS,0
journalPaper,B,S&P,SOUPS,0
journalPaper,B,S&P,SP,0
journalPaper,B,S&P,TODSC,0
journalPaper,B,S&P,TOIFS,0
journalPaper,B,S&P,TOPS,0
journalPaper,B,S&P,TVCG,0
journalPaper,B,S&P,TrustCom,0
journalPaper,B,S&P,UIST,0
journalPaper,B,S&P,USS,0
journalPaper,B,S&P,VR,0
journalPaper,B,S&P,WiSec,0
